-0.232411,-0.108806,-0.219275,0.0705227,0.00200189,-0.241018,-0.0114379,-0.0137511,0.0188306
-3.76124e-08,-4.80654e-08,-4.51747e-08,-4.56339e-08,-4.76827e-08,-4.30686e-08,-4.72091e-08,-4.76137e-08,-4.84852e-08
0.197713,0.0573807,0.172864,-0.120885,-0.0533187,0.198145,-0.0392348,-0.0373998,-0.0714678
-0.19787,-0.0678954,-0.179281,0.106204,0.04124,-0.202163,0.0274458,0.0256145,0.0588229
0.000293732,0.000382371,0.000358132,0.00036509,0.000379975,0.000340193,0.0003762,0.00037933,0.000386313
0.195986,0.0660235,0.178542,-0.107584,-0.0429067,0.201555,-0.0289308,-0.0272602,-0.0611292
-0.206675,-0.0819798,-0.192383,0.0934852,0.0275805,-0.214176,0.0139323,0.0119382,0.0449166
0.00054097,0.0006438,0.000621792,0.000586345,0.000628102,0.00060267,0.000622555,0.000628751,0.000638815
0.198891,0.0660708,0.17923,-0.109753,-0.0436035,0.202875,-0.0296753,-0.027866,-0.0616311

